Event,Sample label (Offset in mm/cm),Expedition,Site,H,Core,Type,Sect,Offset [cm],Depth sed [m] (CSFA),Depth comp [mcd] (Cappelli et al. 2019 (CCSF)),Offset [m] (Cappelli splice),Offset [m] (Bohaty splice (CCSF offset [S...),Depth comp [mcd] (Bohaty (CCSF-A/CCSF-M)),Depth comp [mcd] (two-site composite (Depth CCS...),Ca count [#],Fe count [#],Ca/Fe,Comment (Notes),Age [Ma],Al,Ti,Ti_Al,log_CaFe,CaCO3_wt_pct
342-U1410C,"342-U1410C-9H-4,84",342,U1410,C,9,H,4,84,78.64,83.99,5.35,5.35,83.99,64.59,1872795,431177,4.343,,39.9738642,32904.0,35760.0,1.086797957695113,0.637789829362229,40.36322863825443
342-U1410C,"342-U1410C-9H-4,86",342,U1410,C,9,H,4,86,78.66,84.01,5.35,5.35,84.01,64.61,2045890,383213,5.339,,39.9747147,31135.0,33863.0,1.0876184358439056,0.7274599208579089,43.469848958122256
342-U1410C,"342-U1410C-9H-4,88",342,U1410,C,9,H,4,88,78.68,84.03,5.35,5.35,84.03,64.63,2431687,340501,7.141,,39.9755651,28176.0,29005.0,1.0294222032935831,0.8537590330747687,47.84548170087537
342-U1410C,"342-U1410C-9H-4,90",342,U1410,C,9,H,4,90,78.7,84.05,5.35,5.35,84.05,64.65,2479892,329519,7.526,,39.9764156,27505.0,28105.0,1.0218142155971641,0.8765642139838455,48.63556719347033
342-U1410C,"342-U1410C-9H-4,92",342,U1410,C,9,H,4,92,78.72,84.07,5.35,5.35,84.07,64.67,2870217,278602,10.302,,39.977266,23973.0,22720.0,0.9477328661410753,1.0129215455445602,53.35966694539128
342-U1410C,"342-U1410C-9H-4,94",342,U1410,C,9,H,4,94,78.74,84.09,5.35,5.35,84.09,64.69,3178366,232684,13.66,,39.9781165,21642.0,18661.0,0.862258571296553,1.1354506993455138,57.604689478825335
342-U1410C,"342-U1410C-9H-4,96",342,U1410,C,9,H,4,96,78.76,84.11,5.35,5.35,84.11,64.71,3208934,225878,14.206,,39.9789669,20569.0,18672.0,0.9077738344110069,1.1524718103360363,58.194385869091974
342-U1410C,"342-U1410C-9H-4,98",342,U1410,C,9,H,4,98,78.78,84.13,5.35,5.35,84.13,64.73,3565556,178189,20.01,,39.9798173,16503.0,14044.0,0.8509967884627038,1.3012470886362115,63.34870538580155
342-U1410C,"342-U1410C-9H-4,100",342,U1410,C,9,H,4,100,78.8,84.15,5.35,5.35,84.15,64.75,3876444,145211,26.695,,39.9806678,14371.0,12082.0,0.8407208962493912,1.4264299251939276,67.68566475834362
342-U1410C,"342-U1410C-9H-4,102",342,U1410,C,9,H,4,102,78.82,84.17,5.35,5.35,84.17,64.77,3558446,182583,19.489,,39.9815182,17019.0,15504.0,0.9109818438216112,1.2897895556069106,62.95175915400142
